NEE,PAR,Fdif,PARdif,PARdir,Ta,Ts,Vpd,RH,Ustar,VWC_5,VWC_25,VWC_50,VWC_100,VWC_150,VWC_200
-8.14375,433.6987746,0.64637465,373.9146279,204.5650942,33.4525,25.4585,26.90327941,34.785,0.73106,0.03,0.032,0.033,0.0345,0.055,0.132
-16.7785,1039.763507,0.512323897,598.611757,569.8126713,33.844,26.1615,28.51360992,32.22833333,0.74088,0.0295,0.032,0.033,0.034,0.055,0.132
-20.3015,1280.141896,0.518070429,700.5147499,651.6464829,33.5065,26.5785,27.72800818,32.96,0.74299,0.029166667,0.032,0.033166667,0.042333333,0.0555,0.132166667
-16.7175,719.6628601,0.907508886,881.8884351,89.87993951,33.022,26.92,17.34912693,57.00333333,0.25333,0.0565,0.032166667,0.033,0.035,0.054166667,0.131
-6.0396,441.7384106,0.324586199,202.9547462,422.3175128,30.908,19.6965,27.53504911,23.94666667,0.26118,0.043,0.032166667,0.033,0.0365,0.05,0.125
-15.2535,1118.852911,0.29848629,386.0017837,907.1959154,31.0475,21.6565,25.64810571,29.655,0.26322,0.063,0.032166667,0.034,0.036,0.052666667,0.127
-10.72575,834.1728222,0.666694217,670.060944,334.9889371,32.5615,22.7635,30.34868958,23.01,0.35121,0.059333333,0.032166667,0.034,0.035333333,0.054166667,0.131333333
-17.16,589.4635479,0.706137985,500.3200661,208.2101031,29.403,22.5085,18.39291004,45.05666667,0.47753,0.04,0.032166667,0.033,0.035166667,0.052,0.125
2.958735,87.6273667,0.989257011,124.4480189,1.351462473,27.6535,26.248,7.786644033,74.50166667,0.17087,0.055,0.032333333,0.032666667,0.038,0.054,0.13
-19.9185,983.4258434,0.696428132,798.6103695,348.1129353,31.9245,22.2865,28.98179809,24.02166667,0.18935,0.037833333,0.032333333,0.034,0.033333333,0.053,0.125
-2.53022,149.8024707,0.689322207,194.7906671,87.79223107,29.7915,22.3485,20.05409631,41.31666667,0.25873,0.047,0.032333333,0.033,0.0375,0.054,0.129
-14.48,918.2521792,0.453002701,561.1987311,677.6431776,33.089,22.262,31.81877861,21.415,0.396895,0.040666667,0.032333333,0.034,0.034166667,0.053,0.126
-18.7375,808.1627823,0.411140105,396.2115934,567.4783724,29.148,22.9565,20.96550126,36.565,0.434255,0.043,0.032333333,0.033,0.035833333,0.052,0.125
-13.0765,1151.78295,0.346690987,448.301132,844.7844937,30.6395,20.508,28.80525981,19.31166667,0.43447,0.042833333,0.032333333,0.034,0.034333333,0.05,0.125
-21.375,1227.808909,0.468735384,610.4193734,691.8492277,31.479,23.9915,23.60516772,36.68333333,0.51565,0.0375,0.032333333,0.034,0.033,0.051666667,0.126
-14.224,693.9381686,0.579982425,477.4924775,345.7953614,29.6935,21.105,21.69710877,36.16166667,0.51687,0.039,0.032333333,0.033333333,0.035666667,0.053166667,0.127
-9.02075,386.8840918,0.623020647,343.5395562,207.8700281,29.5055,20.7765,20.71933834,38.45,0.52222,0.0395,0.032333333,0.033,0.036666667,0.053,0.127
-22.371,1060.91424,0.844803669,830.8038823,152.6244729,32.969,29.375,19.45402868,51.66666667,0.62747,0.032,0.032333333,0.033,0.033166667,0.058,0.145
-16.198,783.20764,0.47689271,460.5711063,505.203997,34.614,27.915,24.13048017,44.83833333,0.43647,0.032333333,0.0325,0.033333333,0.033666667,0.058,0.147333333
-14.283,1413.347024,0.272994162,413.2376211,1100.48567,29.8995,21.035,27.26754164,20.64333333,0.484835,0.042833333,0.0325,0.034,0.034833333,0.050666667,0.125666667
-14.6915,613.7832187,0.702551765,509.566209,215.7414974,29.896,22.8515,22.37576398,34.85666667,0.498925,0.042,0.0325,0.033,0.035666667,0.054,0.128
-7.4077,619.179756,0.258531884,201.1878285,577.0056607,33.5675,22.1365,31.34406169,24.44833333,0.138435,0.057333333,0.032666667,0.0335,0.0375,0.054,0.131
-19.526,1557.021707,0.383652155,607.8612338,976.545959,30.749,24.9185,22.76891476,36.58333333,0.24321,0.051,0.032666667,0.034,0.034333333,0.052666667,0.127
-12.913,418.3958793,0.46066243,285.6101037,334.3885874,29.347,22.63,20.04718699,39.94,0.271785,0.043,0.032666667,0.033,0.036333333,0.052,0.125
-1.506558,100.4268976,0.827304575,170.1243839,35.51255928,28.308,21.9915,15.83323965,49.91666667,0.281285,0.041,0.032666667,0.033,0.037,0.051833333,0.125
-1.300215,87.2931914,0.891797671,191.3855247,23.22091668,28.6885,20.6165,18.11769112,43.83833333,0.32972,0.04,0.032666667,0.033,0.0375,0.053,0.127
-31.2935,1028.02591,0.729846886,780.9911891,289.0841987,32.074,26.875,17.14313468,55.41333333,0.33844,0.068333333,0.032666667,0.033,0.035333333,0.055,0.132
-26.085,718.5209359,0.855064424,577.9183975,97.95862603,31.127,21.8435,17.71645698,51.61,0.43949,0.036166667,0.032666667,0.033,0.034166667,0.051,0.125
-18.8835,1232.587593,0.431162777,565.013261,745.4274618,31.6775,24.78,25.35082114,32.70166667,0.648735,0.036,0.032666667,0.033333333,0.032833333,0.051,0.125
-20.208,872.1730486,0.656726064,633.636731,331.205029,29.1545,22.7885,17.6863398,46.47833333,0.43145,0.04,0.032666667,0.033666667,0.0345,0.052,0.125
-3.9839,166.6321567,0.994973734,151.3158176,0.764395539,29.5845,21.122,19.57196852,42.10666667,0.25756,0.061,0.032833333,0.034,0.037666667,0.053,0.127
-21.2695,1416.369043,0.280035134,423.5743209,1089.001314,33.5525,21.6715,36.93395616,10.91166667,0.276525,0.039333333,0.032833333,0.034,0.032833333,0.050166667,0.124
-10.16995,457.8646983,0.544898726,343.1182008,286.5734914,31.3075,23.192,23.24789812,37.09166667,0.359395,0.0325,0.032833333,0.034,0.035833333,0.057,0.138
-2.217655,300.6211263,0.790061172,354.8757953,94.29929098,29.3725,22.66,20.00003953,40.17,0.418105,0.042,0.032833333,0.033,0.036666667,0.054,0.128
-15.746,1276.522365,0.491363548,676.9899678,700.7881991,32.652,23.0935,31.98596816,19.22833333,0.49483,0.060833333,0.032833333,0.034,0.033666667,0.055,0.132
-17.9905,1220.713406,0.526527815,679.3187276,610.8671062,33.446,25.9385,28.47510899,30.95833333,0.62188,0.0295,0.032833333,0.034,0.0415,0.056,0.134
-21.658,1038.74151,0.487779277,555.2115975,583.0319145,33.6295,25.01,28.01924453,32.67333333,0.646745,0.031,0.032833333,0.034,0.032833333,0.056833333,0.136
-12.73,444.4324164,0.653928565,500.7637877,265.0137213,31.136,21.0585,23.13166942,37.06166667,0.09728,0.046,0.033,0.033833333,0.036666667,0.051,0.127
-32.0615,1267.639349,0.676741885,826.6592979,394.8689044,32.45,27.2635,16.22734516,58.595,0.10811,0.058833333,0.033,0.033,0.034666667,0.055,0.132
-12.3374,292.9187185,0.986864031,337.5512642,4.493084039,26.839,20.4185,12.99740901,55.56333333,0.136855,0.037,0.033,0.034,0.0365,0.050833333,0.12
-17.5485,1264.285037,0.665570515,871.3409663,437.8230471,33.0995,27.0765,18.20941682,55.05666667,0.1378,0.057,0.033,0.033,0.033166667,0.055,0.131166667
-20.34,1622.344343,0.275755617,459.6930575,1207.337565,30.2755,22.3735,24.4275472,30.26833333,0.15072,0.066166667,0.033,0.035,0.035666667,0.053333333,0.128
-0.66073,151.9032554,0.6652482,237.3553647,119.436829,32.708,26.138,21.71564892,45.35166667,0.152225,0.033,0.033,0.033,0.036833333,0.057,0.142
-3.51655,349.1568709,0.758238214,336.9761728,107.4437556,30.151,20.505,19.65581274,43.52666667,0.15226,0.046,0.033,0.033,0.037166667,0.051,0.127
-12.163,150.9804685,0.992870231,208.598266,1.497937413,26.2425,20.1865,10.79061449,61.955,0.170615,0.038,0.033,0.034,0.0375,0.05,0.12
-1.13335,20.82883483,0.997337362,51.56936847,0.137677155,25.411,20.005,8.414188941,68.96166667,0.179915,0.038666667,0.033,0.033,0.038833333,0.05,0.12
-3.98583,265.8769952,0.809074321,317.6417278,74.95722079,30.032,22.15,15.3193506,55.71333333,0.18197,0.049,0.033,0.0335,0.037,0.051,0.126166667
-20.3975,1435.648101,0.263180331,407.4002239,1140.588647,31.016,22.02,25.9138852,28.81,0.188295,0.064333333,0.033,0.034,0.035833333,0.053,0.127333333
0.921085,80.1710792,0.885403105,147.6491555,19.11009195,29.52,22.0335,12.19913652,63.8,0.1893,0.049,0.033,0.033,0.037666667,0.051,0.126
-1.2004,118.5518516,0.374876228,100.2230253,167.1266167,29.664,19.4315,24.1502188,28.905,0.19411,0.043,0.033,0.033,0.0375,0.05,0.125
-31.3885,1325.611698,0.641405905,832.4996061,465.4298315,30.999,27.35,14.63178868,59.78166667,0.196385,0.070833333,0.033,0.034,0.035666667,0.055833333,0.132
-17.4905,887.433598,0.781908509,712.630749,198.7683991,33.835,23.5785,31.58408491,24.89666667,0.19732,0.032,0.033,0.034,0.0345,0.06,0.158833333
-1.94,182.629882,0.657694979,230.0062101,119.7094143,34.1895,24.4365,26.6739678,37.75666667,0.19944,0.033166667,0.033,0.034,0.037333333,0.059,0.155
-1.1999,113.3891471,0.97515546,212.7429906,5.420163186,32.5085,26.13,17.78741622,54.78166667,0.20279,0.035833333,0.033,0.034,0.037666667,0.059,0.151166667
-20.378,1289.098779,0.750613104,863.4217782,286.866931,31.7425,26.908,24.184393,36.05666667,0.215595,0.0325,0.033,0.033,0.0335,0.058,0.143
-1.64805,278.2612003,0.978811167,293.6394718,6.356565965,29.975,22.7735,21.8932164,36.52333333,0.223985,0.034,0.033,0.034,0.037666667,0.06,0.158
-9.44855,362.0568362,0.751713611,390.1318967,128.8581696,30.8145,25.457,14.53248959,59.67666667,0.226605,0.079,0.033,0.033,0.038,0.055,0.131
-2.70155,211.6703918,0.351141207,141.5546561,261.5727849,32.444,21.975,27.11865441,30.97666667,0.22774,0.057,0.033,0.033,0.0385,0.054,0.131
-36.163,1472.24734,0.444420935,677.3263899,846.7386041,30.595,26.0335,16.16717309,54.61,0.24025,0.083333333,0.033,0.034,0.036833333,0.056,0.132
-9.38355,1005.868675,0.282720747,331.4873459,841.0029963,33.526,24.1065,33.4383177,19.225,0.241975,0.034,0.033,0.034,0.035333333,0.06,0.160833333
-11.9995,1010.613503,0.54898487,660.4038305,542.5506892,33.2335,26.617,27.23365162,33.22666667,0.247345,0.032333333,0.033,0.033,0.035,0.0575,0.1425
-9.7303,433.9208694,0.973840909,382.218983,10.26707857,29.841,22.25,15.45001333,54.89333333,0.249265,0.049,0.033,0.033833333,0.037,0.051,0.127
-21.536,976.2381488,0.900947994,672.0241052,73.88366064,33.359,25.7815,28.13772515,31.47333333,0.25486,0.032,0.033,0.034,0.034833333,0.06,0.156833333
-4.48725,196.1212713,0.976268326,219.3580802,5.33227825,26.006,20.0665,9.993987043,64.27333333,0.25706,0.038,0.033,0.033666667,0.038,0.05,0.12
-12.81845,1009.762163,0.781323899,800.1150386,223.9353449,30.7275,22.612,17.7667501,50.46,0.26066,0.036,0.033,0.033,0.034,0.051666667,0.125
-26.166,1157.13233,0.61547982,806.2821347,503.723667,31.4515,27.113,15.79188715,57.58166667,0.26959,0.069666667,0.033,0.033166667,0.036,0.055,0.132
