Rn,PAR,fdif,PARdif,PARdir,Ta,Ts,Vpd,RH,Ustar,O3,VWC5,VWC25,VWC50,VWC100,VWC150,VWC200,NEE
-273.619618,66.27399835,-124.4690416,6.490955962,129.0977563,-25.22658109,-141.1328424,426.2770635,-150.3723012,249.6440721,-226.1936707,37.789147,-149.4308272,-52.00101849,34.93464927,-139.7840501,-102.1431886,0.459271312
-64.35625896,179.3776706,-37.51013223,62.00814318,321.1878404,-105.9521748,116.4743092,245.3202104,-39.07897389,-47.15827589,-169.7955816,-33.35277463,-244.5101701,-34.9018537,-23.55906469,177.6631884,-101.7427411,0.385700434
167.5554895,22.75508465,48.57338581,309.7375857,-63.07185588,-81.85487364,71.25941504,92.88702615,-290.2802137,-307.5395983,-58.39403477,-133.2565008,56.45587687,-16.53573766,140.6496127,14.69931758,-99.73010212,0.365631726
388.8153846,-527.7537094,0.101586204,-111.2882008,-379.985136,3.477952111,308.6779039,-291.1665181,40.94490964,-354.0065845,213.9508311,-151.5409274,383.9243178,225.833907,270.1039495,-178.2689096,-96.19866924,0.437641704
-412.161746,15.28983097,-8.58489358,145.8616442,39.27588345,136.5961474,-75.88613285,647.4421635,-277.979832,225.4010626,-353.6507855,-14.91104133,-300.9791612,163.4674224,33.79167681,-136.9159609,-94.63901915,0.459458332
71.49929341,-107.9418007,54.74010091,-43.14185043,3.451181221,11.13892716,97.92050009,-140.054738,46.29516006,-160.3870592,149.8272748,-11.30189591,126.9754372,-56.37455941,-151.3128317,-23.70467575,-91.37831885,0.584261241
-483.3046411,351.234839,75.59875353,120.4199867,-663.6696266,-126.7400015,-431.7626379,-477.444013,634.6184362,-310.3885404,390.7765309,-225.9273192,-288.8992464,-299.0885326,-610.5007219,-379.6451209,-88.88643543,0.481760493
227.5145228,-188.4716666,44.38882039,141.4705133,-205.4542112,38.60222627,21.73807318,-94.1170451,-87.7605252,-112.7850599,135.892764,-27.56203976,-70.7152892,56.49761356,142.7201419,-14.76659667,-87.36191189,0.434455167
64.96208003,72.66480698,-84.10580221,-48.54876368,-51.98820539,-77.38409941,-107.9905801,188.7984021,-43.39805285,150.7321644,-64.16529803,15.90717843,-66.33537206,7.025370208,-150.0655899,-148.5776068,-84.79541269,0.40525124
411.0737154,51.91732338,-140.3974663,252.3698572,125.4925471,-382.8948481,-183.0695147,-165.9975072,-67.15503285,223.1370543,357.5871205,229.1678984,-9.732706546,-404.1668542,1.810283162,-33.5032929,-83.62614378,0.333910219
-242.9395364,89.95679328,-78.22254391,-63.44734649,108.9565241,-22.40041394,-81.1244934,327.1988906,-140.0603406,172.5383793,-197.5699066,36.13907007,-123.7572256,-30.34145176,34.93414067,-110.8227206,-80.5668674,0.493675839
-110.5469757,365.3239467,-344.0469323,-100.4944088,104.9757831,-295.7083199,-301.2310202,1507.503866,-207.4553456,756.5411679,-586.8885037,297.4999972,-748.6427793,144.2167127,-249.075336,142.431551,-80.25920632,0.472391499
-284.1858907,135.188662,-85.56590572,-111.0944041,-17.08173472,-2.832917332,-113.0639179,328.5449548,72.71670465,96.52913339,-177.481937,50.41060105,-219.6222993,126.4490823,28.95114232,-21.60630743,-78.29309717,0.560331285
65.66037763,-87.22275932,2.041581209,-3.20457269,-33.19913247,7.239560386,72.26485556,125.8090186,-143.960271,-103.3464217,-45.89724833,280.7087743,-11.81541203,-122.5385034,32.58911873,172.2444206,-77.11649033,0.179035896
-28.23757413,158.563277,-108.5348791,37.63786117,-199.4956916,33.18657065,34.9651513,447.3280974,138.5274426,24.11691592,-421.4622296,55.08337855,-112.3823831,258.4206913,-241.9668744,-163.3942274,-73.3368228,0.339247488
79.51600505,31.49086697,-47.8929192,-72.88930239,24.5620893,-42.52405452,28.86104944,-101.0431564,93.00424924,-0.016860536,-17.07664043,-36.86581514,-13.37106766,-0.932851558,-99.88256415,-53.36870077,-71.27706728,0.267503654
14.47147288,-44.61714558,-23.58927708,-15.27131742,-1.5080333,1.594995213,-9.986157462,16.43106412,-43.20867677,34.84054349,31.73819365,39.16732865,-11.29607417,-20.49151977,-60.49245311,-82.58071948,-70.49131205,0.497279575
-512.0884343,-979.90471,143.1690938,-791.2529325,-1059.86686,-53.38943234,-69.84412241,-865.3564368,446.2103153,-388.5014926,476.8030495,-216.0748989,112.5764015,261.5734361,106.35894,-2.436498802,-69.92689895,0.620997767
-32.58198209,-115.7944642,71.21121267,-43.83081051,-16.72307857,39.49430476,104.1178672,11.14525031,-11.15356112,-93.69644717,51.10483362,-1.381425369,115.8678245,-17.92470861,-116.9247919,-31.70865042,-67.11657515,0.294391407
-220.1027107,221.0773723,-380.5227684,-410.5019671,123.4247057,-390.7132674,-201.1160334,1512.281084,151.8601737,950.3644969,-443.5975089,-143.5793583,-455.7362048,414.778434,-535.7521326,-285.0114111,-66.76525806,0.409221823
86.9949045,-215.6343454,1.287616056,-129.428044,-10.42382108,-60.92862576,153.4538507,-69.78426572,0.259725731,-113.2951522,148.5958288,-31.7524881,237.6968286,-16.07320373,-20.38911066,-63.54532521,-66.09008107,0.417472292
-115.6755641,45.29816558,-11.13159727,-63.64051637,93.6809863,-32.33252618,-52.96374431,102.7394102,-41.87596273,32.09814832,-89.00143485,18.00131931,-64.73662702,-46.06425686,-26.32487026,-25.24682211,-65.77547084,0.63882583
-132.6160979,120.4255579,-55.08935263,149.1158228,77.28776523,38.38468925,-169.6796489,198.0350295,-160.573792,198.8162425,-96.39402762,124.9639761,-292.5373361,-61.14213052,-12.38611178,-41.70841619,-65.28801172,0.466982299
-176.6990931,6.034431457,-34.62656965,62.7647444,65.68620626,8.196608215,-75.27444018,214.3200208,-116.3526752,165.5239689,-133.7171158,55.28310123,-153.7207188,-10.35218087,36.87282062,-50.39750153,-62.66864785,0.462198897
-810.0888014,626.5118516,36.16256695,-474.0952203,-83.62281234,-100.7563544,-283.5950357,755.0974111,636.0311908,-196.2583513,-446.8196115,-12.93063709,-461.1202862,385.9101538,-40.94344159,471.0420077,-62.5494564,0.560213318
