,Rn,PAR,fdif,PARdif,PARdir,Ta,Ts,Vpd,RH,Ustar,O3,VWC5,VWC25,VWC50,VWC100,VWC150,VWC200,NEE
255,-5889.27579,-2042.772121,1016.060746,-5946.08628,0.783759741,3097.236061,2268.144567,5214.285136,-1156.9724,-1089.871747,-3830.042288,-3756.015015,420.0563868,4838.9978,2334.108774,2176.162682,1712.806072,0.445920945
407,88.21130998,-1803.003191,706.3626772,-958.1920579,-314.6677427,944.8685908,1376.672328,-939.033214,-21.26418577,-1548.959856,1026.2069,-321.9208535,1033.569404,288.8000336,-1268.005038,-566.874304,-959.4655831,0.388462579
734,-3944.380957,-1537.69643,1346.723597,-3364.975295,-191.4641277,3238.942732,596.9728661,3079.319213,-1134.872109,171.9757913,-1897.249452,-1758.357629,-2353.446754,3254.699627,1776.765172,2351.942172,1020.223836,0.436364931
351,-2121.224842,-1534.144204,1083.79396,-2850.96556,2152.717488,2452.035963,2221.523549,3693.087111,-2897.916871,-125.7109239,-3264.369196,-1160.461775,-2217.110978,4266.333968,3612.522683,3419.304525,335.0055738,0.428225955
577,2164.280806,-1389.647373,448.5154436,1984.784218,-2343.494754,470.8350042,-273.097667,-728.9322753,-1216.106514,-1032.183982,763.2168667,-341.03285,-1298.517509,708.7982241,2611.893744,427.1355406,-427.313151,0.68241046
295,461.2812034,-1360.824794,-190.3559217,-1151.531519,-671.3946859,-177.8286034,1049.541933,-471.0380753,639.1426132,-546.2628197,274.9949039,-361.4312173,1698.385345,687.4518265,482.1490193,-567.73381,59.0802284,0.294283511
409,1717.590941,-1332.92196,466.1778767,1492.955909,-1888.875128,461.9794627,-9.84048656,-494.0985777,-1060.125554,-1047.836299,656.6507366,-247.6068518,-989.0249554,597.4320152,1960.990307,360.4965425,-526.9874581,0.420734635
365,-6082.798251,-1199.424594,113.0046234,252.5441765,-1643.607749,-1621.727425,-1098.520115,3597.772807,1124.952478,1032.426513,175.942382,842.4505324,878.2875497,-2189.530793,838.1736114,1608.994747,-75.44777305,0.701471849
567,-627.5696669,-1184.755393,711.3480627,-508.793458,-886.349304,1334.761586,358.0260798,1013.244958,-957.2836489,-578.4729147,-387.9699781,-909.5036885,-1041.091028,1419.957559,1115.19696,760.0588485,-9.955347533,0.412991
763,2964.67381,-1148.830945,-3710.118787,2001.114371,-8190.056567,527.2556201,-1825.165375,-16615.36509,6340.872144,-5149.6147,3385.815455,-7084.335595,8726.202497,-3715.69203,4245.145748,-2568.290974,-449.6177596,0.335363222
441,783.9445216,-1121.253218,-45.96917131,-359.5482795,-91.20991929,126.9268907,979.7573048,-391.9370383,-337.4252931,-1140.708899,633.0195257,881.3503905,797.5175592,-527.771133,-1397.355305,-647.3288505,-1264.906472,0.346685139
478,-2271.128763,-1053.590922,867.782421,-1757.517452,561.5937775,-1286.622295,-3362.096474,3005.714115,-1342.072092,6889.562511,-5336.141881,-683.7562095,-2187.56714,-2920.611634,-3248.096695,812.6369792,-2021.826568,0.449718894
2,-2801.282484,-1010.295332,40.34932802,-628.9304196,-1183.0533,-188.7268512,-314.2861789,1040.323641,609.3782278,295.7987261,195.4172276,64.72877277,159.6549118,-501.6909468,-66.89204259,180.5331139,-104.9639639,0.679788897
728,-553.4618998,-983.6972168,238.5817182,-1822.585746,-2734.713726,1393.126758,3687.648438,-1550.810141,4034.167572,-4060.785877,-2719.081419,-1244.216988,4959.328248,3820.100816,-1891.248003,-3577.087463,-156.1351212,0.575834542
855,-512.0884343,-979.90471,143.1690938,-791.2529325,-1059.86686,-53.38943234,-69.84412241,-865.3564368,446.2103153,-388.5014926,476.8030495,-216.0748989,112.5764015,261.5734361,106.35894,-2.436498802,-69.92689895,0.620997767
494,-542.4758806,-961.541217,-533.1235575,829.9542609,315.5643597,-996.356273,435.8148805,-1358.858972,567.8569355,634.4406,583.6858624,-1898.747936,2950.491272,-242.8456311,-197.3006463,-1273.519703,351.5585308,0.235753375
786,-58.32266496,-862.2716273,512.9406528,-238.4549623,891.3423464,-397.5329939,-98.82501048,-99.47797513,-1191.119851,197.4907812,1505.091648,542.7616452,60.27150217,-1403.40702,802.8612358,1294.463154,-12.4355459,0.45448791
266,4013.071909,-851.1844467,-4875.195346,-212.3207208,-4596.222594,-4467.50826,-2364.983955,22627.04485,-4245.063669,8673.452316,-6420.650426,2583.531546,-10312.36161,5444.888336,-223.4793828,338.1262714,-3313.857215,0.354575953
715,-258.8303836,-811.2253047,152.3921432,22.38699038,-116.5881282,129.5068907,472.111723,260.1627632,-194.4508838,-171.9515368,356.9546912,265.6443344,556.252878,-182.149239,-762.7334729,-753.4189327,-717.8589998,0.436131156
448,-966.036262,-795.7063879,67.65597759,-1109.790402,-441.2691235,-152.7647183,37.85112811,1.949418014,255.0677261,165.162134,-104.2062181,-53.24813159,379.9605656,339.9047346,230.7336053,315.9220776,192.5384128,0.695618116
550,-928.9621152,-713.4753877,-146.1366402,-556.3870206,-485.9767261,95.58755552,18.78703143,-66.40237975,375.0031557,-4.718283148,316.2804839,42.6183367,-38.09108572,-10.56743744,-67.22783427,-68.51648606,-149.8327083,0.679315995
501,-303.9019236,-663.4384307,700.6252508,-84.61720056,356.045197,-29.68735223,-169.1502022,-1983.268402,875.8674506,496.0994774,2105.211846,-2052.181118,868.8769388,47.16489542,-631.5399993,-1297.416009,104.6977798,0.486914339
477,322.0001172,-659.7311238,202.9311536,-139.3022423,-76.66315819,116.0193198,548.1060867,-657.8788992,111.3786099,-672.3390006,630.4187934,33.64348337,682.9630902,-198.6067242,-696.4167041,-393.2659518,-492.8461314,0.283903889
329,48.44364282,-658.7102412,946.3255004,-33.28781354,1298.926782,-283.5113368,452.6358348,2630.636389,-1192.019616,1443.680188,188.4252377,372.1613425,-1191.59493,838.2243019,-1261.438221,-414.3243249,-51.38951711,0.635460185
813,-239.1235365,-649.0791557,-815.8490169,-1882.937841,3847.599631,-2939.490132,-2551.205852,5192.484058,-3779.204165,5674.564877,2644.781917,1172.151657,-3986.143157,-2792.819256,815.3126882,3188.140147,-236.2067645,0.617349434
450,236.6889715,-539.6449,-127.6161692,-493.900939,-255.7432357,-120.5637338,460.5532798,-152.1815092,242.4351566,-275.2251418,86.91869534,-212.5526937,720.6665317,326.7377104,167.5205159,-294.5374975,-4.392828514,0.330364028
856,-362.5602068,-535.5988267,-189.3231898,-1051.545277,-351.1840589,-94.33525541,561.55014,656.5538963,254.890856,-160.5110837,-436.218848,-328.8474027,776.8653432,735.8275571,451.7444087,-279.4596722,86.52382943,0.395303203
685,-164.3824149,-532.5714879,-204.7571208,-1126.645377,-1656.655218,-217.4367804,309.7766529,-1283.318378,1580.613466,-1220.779926,799.2807374,-948.8072213,726.1256072,476.0054748,-688.3131844,-1275.03104,-178.5411125,0.481562683
830,-3485.097443,-468.5923363,-3330.027318,1641.597025,499.3939407,789.746983,-2684.663619,5433.868097,-3818.517561,5381.176612,-2486.217541,2903.75017,-5078.209178,730.5978522,1439.596227,-4911.923076,-2630.77788,0.63340771
475,-27.57085114,-456.9499409,-299.4035488,-324.0556832,-15.16992359,308.936379,-228.8000793,-293.3077656,447.2057777,-361.8078879,200.4052048,-112.283037,-186.8525262,-70.63550875,-123.2755848,-98.66932764,-325.7673767,0.699318096
451,-414.3816694,-422.4715374,-124.4196567,-388.7794555,-367.7407361,119.7565914,-15.17901226,-467.6733959,382.7568877,-191.0416614,407.7467104,-19.73349742,-156.0763489,3.078323438,-194.0238229,-189.1051079,-177.3717217,0.771367492
586,666.3945783,-401.4823303,104.8771681,322.0090063,114.3499339,12.21188444,239.8046443,-639.2814303,-398.7275605,23.70621532,355.2181624,-41.84755021,463.9731059,-345.444524,-67.6519461,-155.1747041,145.6824099,0.604961323
305,-8.968391967,-390.4902325,6.235803097,-306.1076871,-473.1868917,-97.60354138,231.8347558,-250.9897487,408.4691232,-348.2566845,235.2633949,-141.5615918,471.2559677,78.89821149,15.84957706,-213.9072431,-15.65986402,0.238680961
817,-1396.226566,-389.5713457,194.9053989,-748.2168271,-687.2474048,-374.9620088,-231.4466156,513.1017955,272.5943787,347.7737466,-303.7451617,-96.82924622,515.0250615,-18.63520318,11.34853058,250.3493464,292.0237035,0.716870447
259,420.8696273,-359.4206035,100.6064292,269.1108405,-365.2602977,81.8723122,44.69424707,-230.754654,-195.3000376,-249.2775569,272.8721043,-44.37602423,-104.3662838,61.88232474,284.4632115,-0.796639568,-162.3677093,0.042496749
408,-505.9362358,-329.1754516,313.1170061,-369.3474189,229.630046,-240.1178138,189.6360293,548.7552622,-61.5423288,254.6112421,-90.4139261,279.0459544,-459.224222,393.6949073,-345.8596699,-31.98619363,91.81942926,0.549415058
14,-4543.737797,-327.0758315,1257.543515,-2526.842105,177.9676917,2413.230571,278.4423229,4092.2657,-1204.280214,343.1034335,-2615.798363,-1793.077355,-1666.047211,2447.974773,1134.496846,2165.347693,1188.708285,0.562997042
563,745.0700555,-318.2068491,1051.769166,2119.523133,-43.32874466,331.4274042,-1070.771825,-2966.506719,-3.552944495,842.7383385,2876.834551,-1583.123085,-649.8872939,-647.2516516,65.93307261,-868.0191225,111.1677509,0.506767255
376,-215.967019,-310.0455227,262.0783026,-269.5092536,-7.201017988,-162.9864935,-294.9765999,279.6041462,-55.07315286,710.4970416,-621.2600755,-218.9077432,-153.9913241,-359.6964064,-413.3586125,314.9835089,-224.1716246,0.447481845
179,88.84100235,-298.2299844,-5.347923486,-275.8698986,-128.5337804,170.1831799,28.61449737,-287.4733527,226.0104844,157.096116,207.580933,112.1680255,-132.0637008,160.5032951,86.41692643,5.255417497,10.33471223,0.521246936
296,-239.8076096,-288.0697209,-36.35706977,-313.7058951,-259.5895237,260.8187873,-12.77279424,1666.814056,-376.9501874,378.7240114,-638.9778166,810.2517742,-1270.775988,470.6484569,681.1645876,977.0838578,-121.9722312,0.314395378
570,-534.8698595,-283.4470288,16.27258162,-421.7105815,-203.1566824,136.4781038,-2.224791437,46.05972743,152.2937916,-30.40606413,41.62037732,-58.22959378,-125.5492206,143.2450597,-32.47896478,50.65166469,-7.369392289,0.616732268
233,129.9439937,-273.7951901,47.60205317,-117.9181094,109.5193898,-55.22900287,106.7437633,-118.5941515,-104.7470691,-48.31302124,359.8722576,59.40212127,117.9240435,-189.908698,-204.44487,-32.25279233,-176.3495545,0.609325548
555,65.29393156,-256.0911637,83.60606241,-120.4059335,-30.24983976,95.61259836,209.2383813,-215.6434287,35.54688729,-234.6733979,197.8952585,-23.0159844,215.1280473,-9.476911476,-246.8532555,-136.7345185,-160.6905077,0.407358814
96,-427.742498,-233.5292933,142.5034339,-352.7330235,120.4130203,-374.9652933,-825.6902291,643.3733019,-379.1970436,1644.74,-1263.382551,-156.3582227,-435.0999394,-773.010747,-830.6817738,80.09908003,-535.9683601,0.447719216
94,5.964897936,-229.8584578,-52.94294226,-23.8016928,39.22986602,-51.67257303,97.055879,-56.25054148,-37.61850215,18.25320462,109.2007605,8.658631997,38.82931363,65.67270021,-26.59899957,-72.96711634,-45.57080175,0.643794813
277,-675.4896276,-214.3137877,-216.7205564,14.75957893,140.6036448,-11.75327614,-630.7208661,944.5947872,-553.8253538,1354.524433,-831.9022256,259.6999122,-830.1330366,-232.3643592,-163.9773242,-389.5421958,-480.1540394,0.453423333
24,200.6221227,-205.3557812,54.94032854,122.9114237,-228.6746061,48.22779106,30.2336693,-154.3927352,-71.48517136,-155.784108,139.7167952,-33.87570705,-30.92800624,46.28660202,142.230378,-13.47622412,-85.57673982,0.689113732
385,-78.48803441,-200.3458831,-37.86580192,-365.7344182,-135.0602105,156.3423229,-2.383688069,-145.1311325,329.32923,138.368906,107.9050693,125.117053,-180.8233512,226.1767479,61.77262481,13.31185257,-24.78122449,0.59998101
70,6.980174766,-199.6686841,-13.0886907,-243.7908849,45.74392532,38.85880511,-40.5529338,-72.89281196,62.93751188,235.6580983,200.9212714,113.1729076,-177.8488111,23.61079563,131.2419767,134.4175886,35.83177318,0.394814073
735,56.41212376,-199.3089888,-36.74877899,-197.3805332,-97.05288604,-23.0246634,184.6801851,-58.15142019,89.53392089,-127.6289475,9.175087193,-91.54977744,283.2481697,136.3921202,70.37852418,-103.630814,6.764811443,0.403769464
421,-256.0612328,-191.8486504,251.0172628,-165.2203019,-322.1641754,389.9885772,529.1129596,-818.7053262,292.431588,-1114.520901,-193.5578077,-223.249322,818.5662765,271.4367736,332.3038195,-51.63444821,60.64463325,0.531571891
62,-150.744712,-180.1139222,-224.5476793,-6.057362514,-359.5405848,-312.0333476,-381.6035619,3529.379156,-780.5140536,1544.14581,-1004.797934,784.4702129,-1572.0872,592.1469764,570.0461488,886.4131924,-97.17737581,0.226071482
394,-35.76843435,-164.3717825,-16.497854,-219.4940973,-81.16841728,-40.42647265,154.4814178,86.16936385,83.27236687,-96.56062817,-29.65764436,-82.16256868,228.8336439,142.6722542,81.48637575,-52.2367952,4.704472404,0.504290675
598,-973.8442499,-143.8275936,455.9584547,440.2178948,-546.6301856,-6.51915243,-130.0119866,1579.086114,-494.8315945,287.6023858,-632.8853913,-275.1297178,168.2531856,-14.29558035,539.2367556,516.2213894,263.244076,0.654060065
752,86.5180807,-142.4981954,-345.468822,81.84717672,134.1331913,-191.9217029,68.05307513,-227.622618,-42.60967782,78.88202401,1.874767006,-14.42747523,335.9617301,-71.58120731,102.1178783,-54.34346652,50.7836524,0.337420444
299,-173.3338728,-138.7625913,-447.6688784,-569.924184,-287.8197162,152.592335,-522.6989831,-684.1407744,929.0940931,-405.9888374,343.7892804,-105.8646997,-183.3844031,-129.456228,-614.262033,-414.0961342,-580.7259354,0.783309021
158,181.2849524,-133.5317758,-206.5930236,145.2477791,-13.99006118,-145.2499344,58.86687639,-212.9656063,-43.46271842,-24.11323214,31.37020095,7.861547101,220.384766,-94.31428519,117.8175636,-20.95448131,-36.51025828,0.39828114
328,-302.1886208,-130.1082728,66.1066918,-311.019074,4.852990254,147.3763982,95.90075684,298.767683,-65.69353566,13.990426,-163.6136987,-158.0698574,-9.101288456,229.8944457,137.6934294,138.7562651,98.37474591,0.352403641
142,463.9575964,-123.8487583,-68.06893968,341.853888,-161.6465397,-214.8256728,87.00804118,-368.5444373,22.01213782,-284.2389836,289.847168,238.8853586,282.3676594,-359.0854553,-68.64992391,-99.03089536,-256.7545205,0.318983937
590,183.3243842,-121.6086089,-13.44496901,-137.5018728,52.4308791,167.884378,91.46044704,-393.1990759,56.03136117,-162.4860771,182.8500189,-34.72579878,-259.1678351,179.8891415,70.37966769,-23.14504091,-87.56422513,0.373083762
340,47.17487872,-120.801703,-28.16900772,-120.691173,-51.25114333,-29.26883647,114.6988911,-35.6311591,53.90723744,-74.44193802,11.58481526,-45.91486569,182.8776381,72.57221841,40.6568988,-64.22205923,3.745556341,0.534983331
592,-418.9282417,-119.2684536,-71.23990828,-476.0639084,-52.5770382,61.62386655,-159.5186924,1402.91321,-175.2116866,657.8532702,-379.7377933,-232.5545774,-780.9886883,591.3931338,16.79520032,169.9734467,-33.98987172,0.342225426
783,-23.51090261,-118.3707786,-27.53565774,-189.7210452,-43.55837965,-25.79916294,136.4083298,97.43628984,50.34765251,-51.02633779,-64.50110369,-37.8926561,174.8530634,126.6384697,52.25881765,-36.46789525,24.90275845,0.372529894
343,-41.75777194,-112.497598,16.93513784,-103.6439613,-73.46568221,-22.53129365,87.63884953,96.38957794,48.83978434,-42.81866255,-6.820692598,-24.3969365,141.2000232,81.09177473,64.85341899,-1.053866092,20.06143176,0.505184776
520,-206.8840193,-106.1876487,494.0105516,-10.22414762,563.6598907,-18.20829839,221.1494338,1025.961743,-381.3873256,334.1425184,55.51579906,268.8088064,-515.8595569,384.6111185,-393.7566638,-48.1116048,-14.34408224,0.381226335
384,-156.0182893,-104.8394336,-1.381695718,-113.3767045,-72.05730263,15.1260487,15.13669699,3.823955183,56.21627366,-3.614078165,17.43866535,4.366448257,8.130908961,29.05293537,-10.44961585,1.072537989,-9.467160308,0.570403043
294,-195.0892284,-104.0418146,25.87667741,-108.3755338,-53.89456983,40.02644846,17.47741177,-52.63383068,55.37203654,-77.07986256,37.23402429,15.94446319,18.3396986,-11.118032,-25.30358464,-1.971577433,-40.62766162,0.715989006
857,-88.99770261,-102.3302314,24.79619485,-52.14779798,363.098526,-13.32240701,187.9856084,781.1494558,-415.3297332,354.5227092,-457.2996876,121.066693,211.6461808,164.414162,396.1272484,340.8694442,147.1858066,0.477750348
662,-242.2388754,-99.41137345,375.320576,-131.2961982,532.2639352,26.10731271,37.21941965,974.7137035,-510.0533407,407.1794847,72.08095268,168.529846,-678.4774076,267.0104689,-159.2828234,187.3550054,25.3318508,0.30225345
33,72.83621781,-99.27624896,28.36153582,13.13685512,-57.90990527,26.15030892,54.50074273,-56.99044874,-23.68020332,-90.27877634,65.89990536,17.2942412,29.86717662,-3.824249472,-17.70925943,-17.15975577,-62.63749147,0.39189368
38,83.1453274,-97.10752918,-216.0767203,-168.5794803,89.5458725,-359.5878856,-373.1280547,1163.109636,-331.8972513,862.190471,94.93985577,20.50440562,-815.6469847,105.0920665,79.47843734,174.5931041,-135.0749376,0.555232826
359,42.31829851,-95.80094162,-19.4745245,-82.92111684,-45.60074416,-20.8025744,85.77868927,-37.03100713,39.63630505,-62.0639726,15.72430388,-40.53333424,138.1428994,54.42134628,36.16780502,-50.44506127,0.433436089,0.432664089
