NEE,Rn,PAR,fdif,PARdif,PARdir,Ta,Ts,Vpd,RH,Ustar,O3,VWC5,VWC25,VWC50,VWC100,VWC150,VWC200
-18.4405,656.4219,1470.982552,0.393272449,632.398228,975.6427877,19.4605,22.1285,17.15639456,12.33,0.391015,52.64700525,0.079833333,0.038,0.037,0.044333333,0.0785,0.297
-17.1645,234.1396167,610.8798537,0.873178749,802.0340433,116.4881308,20.0015,21.345,17.2626481,14.41333333,0.454785,53.7555652,0.0795,0.038,0.037,0.045,0.078,0.296333333
-15.756,256.0640167,638.4632012,0.879403897,654.5364952,89.75915485,20.508,20.2285,17.77050362,14.335,0.49669,53.83763264,0.079833333,0.038,0.037,0.045833333,0.078,0.2955
-6.39535,181.2939183,462.1777891,0.92427511,491.6253092,40.27834593,20.895,19.01,17.14618281,19.09333333,0.948135,46.54317841,0.08,0.038,0.037,0.0465,0.078,0.294166667
2.05665,-4.064550567,106.3683598,0.981253909,244.459681,4.670211638,18.561,17.978,13.50245992,27.46166667,0.68629,46.63296583,0.08,0.038,0.037,0.047166667,0.078,0.293
3.71215,-35.82969167,65.96976283,0.989608216,98.57724132,1.035150428,17.627,16.68,12.78341064,27.59833333,0.967955,44.66310337,0.08,0.038,0.037,0.048,0.078,0.292166667
-7.4093,186.4431167,630.3449581,0.491895711,219.9330436,227.1801123,11.1075,10.4835,5.536635725,54.45166667,0.19237,1.656163692,0.08,0.041,0.037833333,0.051,0.081,0.300833333
-19.2535,349.1739333,958.0555556,0.390889566,311.9582553,486.1143518,14.225,11.455,8.031076065,44.92,0.26509,4.183794888,0.079166667,0.041,0.038,0.050166667,0.081,0.301666667
-26.0605,502.0236167,1227.163957,0.371156243,408.3697801,691.8940238,16.019,12.8965,10.5270461,34.71333333,0.43454,8.609266392,0.079,0.040666667,0.038,0.049333333,0.081,0.302333333
-21.5865,623.4847667,1442.507181,0.371799039,500.8609273,846.2671575,17.85,14.675,12.56301992,29.805,0.47797,17.1091221,0.078166667,0.04,0.038,0.0475,0.081,0.303
-22.8505,695.2329667,1556.016019,0.377757642,573.9097066,945.3440221,20.117,17.575,15.39143968,24.30166667,0.6309,35.13808964,0.076833333,0.04,0.038,0.045,0.08,0.303666667
-28.3055,447.2951,1055.301799,0.463953867,694.5046614,802.4214579,22.138,23.113,18.87666741,16.86333333,1.07763,50.34470185,0.076333333,0.038666667,0.038,0.043333333,0.079666667,0.304
-5.771315,121.3739167,374.059776,0.991454859,429.3562272,3.700531143,22.622,21.08,19.39467683,16.78666667,1.177285,57.58360883,0.077833333,0.038,0.038,0.045666667,0.079,0.303166667
-6.650505,445.26855,1001.943242,0.967802039,696.2058981,23.16218579,21.555,19.4135,17.41674473,20.74833333,0.99438,53.98253073,0.077166667,0.038,0.038,0.045166667,0.078166667,0.301833333
-13.325,339.0611667,788.9043131,0.666914132,646.1710949,322.7258953,21.9655,19.815,18.71786523,16.73833333,0.844295,42.22802328,0.077,0.038,0.037166667,0.0455,0.078,0.300833333
-6.8032,258.4036333,630.0269217,0.695192252,515.6457789,226.0854148,21.9165,18.737,19.85175203,11.45166667,0.99094,45.13659077,0.078,0.038,0.037,0.046166667,0.078,0.299666667
-6.6655,62.04658067,262.5256269,0.792211457,344.5292236,90.36630899,21.648,17.5285,19.92289687,9.815,1.116315,46.56117885,0.078,0.038,0.037,0.047,0.078,0.2985
-0.27785,-53.832305,73.32940298,0.975533454,143.3307166,3.594758831,20.239,16.3515,18.45026403,9.725,1.22982,43.29293192,0.078,0.038,0.037,0.047833333,0.078,0.297
-7.58455,-20.90834167,638.0068065,0.423051002,190.602831,259.940555,10.688,9.1917,9.437801632,20.12,0.779275,25.56088971,0.071,0.041,0.038,0.048,0.081,0.3
-11.91495,167.8760067,1003.807558,0.307763529,253.3719607,569.8963503,12.1005,9.88985,11.04002142,14.03833333,0.820525,28.17914844,0.075666667,0.041,0.038,0.050833333,0.081,0.301
-18.366,369.5511167,1296.782419,0.259975275,302.4272071,860.8649832,13.365,11.1885,12.21995492,11.625,0.992115,37.45195641,0.077,0.041,0.038,0.05,0.081,0.301
-16.7105,557.86955,1512.442371,0.258692048,366.790634,1051.075267,14.1285,12.5785,12.91090024,10.65666667,1.02302,40.36136669,0.077,0.0405,0.038,0.049166667,0.081,0.301
-17.499,676.1133,1586.834635,0.252654054,402.994156,1192.049145,15.029,15.24,13.8518149,9.006666667,1.11385,40.1842765,0.074833333,0.04,0.038,0.0455,0.081,0.301
